REQ_SERIAL,RISUID,reson  bik,tavalod,tahol,ttakafol,basavad-bisavad,RQ_RLDATE,elat-gath,RISUID,edu,mablag,age,label 
2.57E+12,43259599,2,13310321,2,1,2,,1,43259599,,3030000,66,1
2.57E+12,43287997,12,13660919,2,2,1,,1,43287997,13,9299310,30,1
2.57E+12,43260860,1,13480819,2,2,1,13,1,43260860,,2196000,48,1
2.57E+12,43269443,1,13550810,2,1,1,13,1,43269443,,2196000,41,1
2.57E+12,43274659,12,13630306,2,3,1,,1,43274659,,3030000,34,1
2.57E+12,43267350,1,13430220,2,3,2,13,1,43267350,,2196000,54,1
2.57E+12,43274814,2,13540217,2,1,1,,1,43274814,,9299310,43,1
2.57E+12,43287991,2,13650510,2,1,1,,1,43287991,14,3897000,32,1
2.57E+12,43427646,2,13490910,2,3,2,,1,43427646,,2635200,47,1
2.57E+12,43286611,2,13610325,2,4,1,,1,43286611,17,11112690,36,1
2.57E+12,43253652,1,13240102,2,4,2,13,1,43253652,,2196000,73,1
2.57E+12,43267559,1,13560701,1,0,1,13,1,43267559,,2196000,41,1
2.57E+12,43263421,2,13150304,1,0,2,,1,43263421,,3030000,82,1
2.57E+12,43258088,2,13490504,2,4,1,,1,43258088,13,7124250,48,1
2.57E+12,43285072,2,13570601,2,3,1,,1,43285072,,3303000,40,1
2.57E+12,43288057,2,13570930,2,3,1,,1,43288057,13,8121660,39,1
2.57E+12,43288025,2,13630521,2,1,1,,1,43288025,17,6089100,34,1
2.57E+12,43258059,2,13490606,2,4,1,,1,43258059,,3897000,48,1
2.57E+12,43274104,2,13611130,2,2,1,,1,43274104,,3303000,35,1
2.57E+12,43424538,2,13660330,2,1,1,,1,43424538,,3303000,31,1
2.57E+12,43275164,12,13530105,2,2,1,,1,43275164,,3303000,44,1
2.57E+12,43273221,6,13590215,2,2,1,,1,43273221,,3897000,38,1
2.57E+12,33875794,6,13580402,2,3,1,,1,33875794,13,4871250,39,1
2.57E+12,21169342,2,13561204,2,2,1,,1,21169342,,3303000,40,1
2.57E+12,43272221,1,13550601,2,2,1,13,1,43272221,,2196000,42,1
